統一編號,時間週期,公司名稱,公司名稱英文,總進口實績,總出口實績,統計時間年
00026928,,,,0,0,
00026954,,,,0,0,
00026997,114   01-6,暖暖趣股份有限公司,Wfun Company Limited,0,0,114
00026997,113   01-12,暖暖趣股份有限公司,Wfun Company Limited,0,0,113
00027089,,,,0,0,
00027102,,,,0,0,
00027784,,,,0,0,
00028186,,,,0,0,
00028427,,,,0,0,
00028539,,,,0,0,
00028593,,,,0,0,
00028600,,,,0,0,
00028860,,,,0,0,
00029143,114   01-6,方案三三有限公司,Solution33 Limited Company,0,0,114
00029143,113   01-12,方案三三有限公司,Solution33 Limited Company,0,0,113
00029235,,,,0,0,
00029299,,,,0,0,
00030394,,,,0,0,
00030660,,,,0,0,
00030726,,,,0,0,
00030824,,,,0,0,
00030845,,,,0,0,
00031209,,,,0,0,
00031339,114   01-06,景晶科技股份有限公司,"Vesta Microsystem CO., LTD.",0,0,114
00031339,113   01-12,景晶科技股份有限公司,"Vesta Microsystem CO., LTD.",0,0,113
00031393,,,,0,0,
00031491,,,,0,0,
00031767,,,,0,0,
00031871,,,,0,0,
00031921,,,,0,0,
00032127,114   01-6,進勇科技股份有限公司,"JIN YONG Technologies CO., LTD.",0,0,114
00032127,113   01-12,進勇科技股份有限公司,"JIN YONG Technologies CO., LTD.",0,0,113
00032576,114   01-6,睿創智能有限公司,Redtron Robotics & Intelligence LTD.,0,0,114
00032668,,,,0,0,
00032718,114   01-6,兆雅資本股份有限公司,"CHAOYA CAPITAL CO., LTD.",0,0,114
00032718,113   01-12,兆雅資本股份有限公司,"CHAOYA CAPITAL CO., LTD.",0,0,113
00033060,114   01-6,源瑞體育用品有限公司,"YUAN JUI SPORTS MFG. CO., LTD.",0,0,114
00033060,113   01-12,源瑞體育用品有限公司,"YUAN JUI SPORTS MFG. CO., LTD.",0,0,113
00033287,,,,0,0,
00033370,,,,0,0,
00033603,,,,0,0,
00033809,,,,0,0,
00033998,,,,0,0,
00034321,,,,0,0,
00034510,,,,0,0,
00034624,,,,0,0,
00035176,114   01-6,太隆實業股份有限公司,"TAILUNG SPECTACLES INDUSTRIAL CO., LTD.",0,0,114
00035176,113   01-12,太隆實業股份有限公司,"TAILUNG SPECTACLES INDUSTRIAL CO., LTD.",0,0,113
00035176,112   01-12,太隆實業股份有限公司,"TAILUNG SPECTACLES INDUSTRIAL CO., LTD.",0,0,112
00035176,111   01-12,太隆實業股份有限公司,"TAILUNG SPECTACLES INDUSTRIAL CO., LTD.",0,0,111
00035176,110   01-12,太隆實業股份有限公司,"TAILUNG SPECTACLES INDUSTRIAL CO., LTD.",0,0,110
00035320,,,,0,0,
00035412,,,,0,0,
00035525,,,,0,0,
00035638,,,,0,0,
00035659,,,,0,0,
00035757,114   01-6,大沃建設有限公司,"BigWell Construction CO., LTD.",0,0,114
00035757,113   01-12,大沃建設有限公司,"BigWell Construction CO., LTD.",0,0,113
