廠商代碼
廠商名稱
廠商地址
刊登機關代碼
刊登機關名稱
機關地址
聯絡人
聯絡人電話
聯絡人電子郵件信箱
評優良廠商依據之規定
獎勵起始日期
獎勵終止日期
通知主管機關文號
備註
