"年月","報表種類","登記機關","案件類別","擔保債權額","擔保債權金額幣別","訂立契約日期","終止日期"
"202205","設立","臺北市政府產業發展局","動產抵押","3600000.0000","NTD","2022-04-29 00:00:00.0","2032-03-29 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","5400000.0000","NTD","2022-04-19 00:00:00.0","2032-04-19 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","7471000.0000","NTD","2022-04-29 00:00:00.0","2032-04-28 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","671220.0000","NTD","2022-04-29 00:00:00.0","2032-04-28 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","3318000.0000","NTD","2022-04-29 00:00:00.0","2032-04-28 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","3000000.0000","NTD","2022-04-29 00:00:00.0","2032-04-29 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","4285600.0000","NTD","2022-04-11 00:00:00.0","2032-04-30 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","6300000.0000","NTD","2022-04-22 00:00:00.0","2032-04-30 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","1620000.0000","NTD","2022-04-25 00:00:00.0","2032-04-30 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","13930000.0000","NTD","2022-05-04 00:00:00.0","2032-05-03 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","2923200.0000","NTD","2022-05-10 00:00:00.0","2032-05-09 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","666000.0000","NTD","2022-05-13 00:00:00.0","2032-05-10 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","1500000.0000","NTD","2022-05-11 00:00:00.0","2032-05-11 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","4800000.0000","NTD","2022-05-17 00:00:00.0","2032-05-16 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","1701000.0000","NTD","2022-05-18 00:00:00.0","2032-05-17 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","1294200.0000","NTD","2022-05-25 00:00:00.0","2032-05-25 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","12050000.0000","NTD","2022-05-26 00:00:00.0","2032-05-26 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","6720000.0000","NTD","2022-05-27 00:00:00.0","2032-05-26 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","2155200.0000","NTD","2022-04-26 00:00:00.0","2034-04-30 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","2970900.0000","NTD","2022-05-05 00:00:00.0","2034-05-06 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","5562800.0000","NTD","2022-04-25 00:00:00.0","2035-04-27 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","6000000.0000","NTD","2022-03-25 00:00:00.0","2036-04-01 00:00:00.0"
"202205","設立","臺北市政府產業發展局","動產抵押","2880000.0000","NTD","2022-04-22 00:00:00.0","2042-04-22 00:00:00.0"
"202205","設立","臺北市政府產業發展局","附條件買賣","2443140.0000","NTD","2022-04-25 00:00:00.0","2032-04-25 00:00:00.0"
"202205","設立","臺北市政府產業發展局","附條件買賣","4701500.0000","NTD","2022-05-19 00:00:00.0","2032-05-19 00:00:00.0"
"202205","設立","臺北市政府產業發展局","附條件買賣","1210000.0000","NTD","2022-05-20 00:00:00.0","2032-05-20 00:00:00.0"
"202205","設立","臺北市政府產業發展局","附條件買賣","2246160.0000","NTD","2022-05-05 00:00:00.0","2034-05-05 00:00:00.0"
"202205","設立","臺北市政府產業發展局","附條件買賣","3826800.0000","NTD","2022-04-28 00:00:00.0","2035-04-28 00:00:00.0"
"202205","設立","臺北市政府產業發展局","附條件買賣","1730400.0000","NTD","2022-05-10 00:00:00.0","2052-05-09 00:00:00.0"
"202205","設立","臺北市政府產業發展局","附條件買賣","22929600.0000","NTD","2022-05-12 00:00:00.0","2052-05-11 00:00:00.0"
