"年月","報表種類","登記機關","案件類別","擔保債權額","擔保債權金額幣別","訂立契約日期","終止日期"
"201804","設立","臺北市政府產業發展局","動產抵押","12144000.0000","1","2018-03-28 00:00:00.0","2028-03-28 00:00:00.0"
"201804","設立","臺北市政府產業發展局","動產抵押","15550000.0000","1","2018-04-02 00:00:00.0","2028-04-03 00:00:00.0"
"201804","設立","臺北市政府產業發展局","動產抵押","","1","2018-04-23 00:00:00.0","2028-04-22 00:00:00.0"
"201804","設立","臺北市政府產業發展局","附條件買賣","12144000.0000","1","2018-03-29 00:00:00.0","2028-03-29 00:00:00.0"
"201804","設立","臺北市政府產業發展局","附條件買賣","30450000.0000","1","2018-03-31 00:00:00.0","2028-03-30 00:00:00.0"
"201804","設立","臺北市政府產業發展局","附條件買賣","3510650.0000","1","2018-04-02 00:00:00.0","2028-04-02 00:00:00.0"
"201804","設立","臺北市政府產業發展局","附條件買賣","2400000.0000","1","2018-04-10 00:00:00.0","2028-04-10 00:00:00.0"
"201804","設立","臺北市政府產業發展局","附條件買賣","5000000.0000","1","2018-04-27 00:00:00.0","2028-04-26 00:00:00.0"
"201804","設立","臺北市政府產業發展局","附條件買賣","2900880.0000","1","2018-03-27 00:00:00.0","2031-03-27 00:00:00.0"
"201804","設立","臺北市政府產業發展局","附條件買賣","4512000.0000","1","2018-03-30 00:00:00.0","2048-03-29 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","30000000.0000","NTD","2018-03-23 00:00:00.0","2023-12-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","2500000.0000","NTD","2018-04-03 00:00:00.0","2025-04-02 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","78000000.0000","NTD","2018-03-30 00:00:00.0","2026-03-30 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","17520000.0000","NTD","2018-03-22 00:00:00.0","2027-03-21 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","18000000.0000","NTD","2018-03-27 00:00:00.0","2028-03-26 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","1380000.0000","NTD","2018-03-28 00:00:00.0","2028-03-28 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","13400000.0000","NTD","2018-03-28 00:00:00.0","2028-03-28 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","54000000.0000","NTD","2018-03-30 00:00:00.0","2028-03-30 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","8400000.0000","NTD","2018-04-16 00:00:00.0","2028-04-15 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","1000000.0000","NTD","2018-04-23 00:00:00.0","2028-04-17 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","72000000.0000","NTD","2018-04-19 00:00:00.0","2028-04-19 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","9600000.0000","NTD","2018-04-24 00:00:00.0","2028-04-24 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","1500000.0000","NTD","2018-03-31 00:00:00.0","2028-09-30 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","4890000.0000","NTD","2018-03-20 00:00:00.0","2029-03-20 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","720000.0000","NTD","2018-04-02 00:00:00.0","2029-04-02 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","720000.0000","NTD","2018-04-03 00:00:00.0","2029-04-03 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","480000.0000","NTD","2018-04-09 00:00:00.0","2029-04-09 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","450000.0000","NTD","2018-04-11 00:00:00.0","2029-04-11 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","9320000.0000","NTD","2018-04-17 00:00:00.0","2029-04-17 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","6050000.0000","NTD","2018-04-09 00:00:00.0","2030-04-08 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","5925000.0000","NTD","2018-02-07 00:00:00.0","2031-02-27 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","12570000.0000","NTD","2018-04-03 00:00:00.0","2034-04-03 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","9210000.0000","NTD","2018-04-09 00:00:00.0","2034-04-08 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","34800000.0000","NTD","2018-04-18 00:00:00.0","2034-04-18 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","6500000.0000","NTD","2018-03-29 00:00:00.0","2035-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","18000000.0000","NTD","2018-03-31 00:00:00.0","2037-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","18000000.0000","NTD","2018-03-31 00:00:00.0","2037-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","20250000.0000","NTD","2017-10-06 00:00:00.0","2037-10-07 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","25190000.0000","NTD","2018-03-23 00:00:00.0","2038-03-22 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","4560000.0000","NTD","2018-03-23 00:00:00.0","2038-03-22 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","5760000.0000","NTD","2018-03-31 00:00:00.0","2038-03-30 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","4080000.0000","NTD","2018-03-31 00:00:00.0","2038-03-30 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","5510000.0000","NTD","2018-04-17 00:00:00.0","2038-04-16 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","11500000.0000","NTD","2018-04-18 00:00:00.0","2038-04-17 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","15555000.0000","NTD","2018-04-24 00:00:00.0","2038-04-24 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","6000000.0000","NTD","2018-02-13 00:00:00.0","2038-12-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","4200000.0000","NTD","2018-03-19 00:00:00.0","2038-12-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","15600000.0000","NTD","2018-04-02 00:00:00.0","2039-04-02 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","1200000.0000","NTD","2018-03-19 00:00:00.0","2047-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","5000000.0000","NTD","2018-03-27 00:00:00.0","2047-07-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","21600000.0000","NTD","2018-03-29 00:00:00.0","2047-07-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","24000000.0000","NTD","2018-04-17 00:00:00.0","2047-07-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","10648000.0000","NTD","2018-01-29 00:00:00.0","2048-01-28 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","30000000.0000","NTD","2018-03-08 00:00:00.0","2048-01-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","16100000.0000","NTD","2018-04-18 00:00:00.0","2048-01-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","2900000.0000","NTD","2018-01-31 00:00:00.0","2048-02-28 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","2400000.0000","NTD","2018-02-23 00:00:00.0","2048-02-28 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","9600000.0000","NTD","2018-02-26 00:00:00.0","2048-02-28 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","78000000.0000","NTD","2018-03-29 00:00:00.0","2048-03-29 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","16190000.0000","NTD","2018-03-30 00:00:00.0","2048-03-29 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","2200000.0000","NTD","2018-03-31 00:00:00.0","2048-03-30 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","12000000.0000","NTD","2018-03-19 00:00:00.0","2048-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","6000000.0000","NTD","2018-03-21 00:00:00.0","2048-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","54000000.0000","NTD","2018-03-22 00:00:00.0","2048-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","9600000.0000","NTD","2018-03-23 00:00:00.0","2048-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","8400000.0000","NTD","2018-03-26 00:00:00.0","2048-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","16100000.0000","NTD","2018-03-28 00:00:00.0","2048-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","8400000.0000","NTD","2018-03-29 00:00:00.0","2048-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","8400000.0000","NTD","2018-04-03 00:00:00.0","2048-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","1764000.0000","NTD","2018-04-12 00:00:00.0","2048-04-11 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","4440000.0000","NTD","2018-04-14 00:00:00.0","2048-04-13 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","3600000.0000","NTD","2018-04-02 00:00:00.0","2048-04-30 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","動產抵押","35000000.0000","NTD","2018-04-11 00:00:00.0","2048-04-30 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","8595563.0000","NTD","2017-11-15 00:00:00.0","2018-08-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","1086000.0000","NTD","2018-03-19 00:00:00.0","2024-12-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","14567280.0000","NTD","2018-04-02 00:00:00.0","2024-12-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","11820000.0000","NTD","2018-03-31 00:00:00.0","2025-03-29 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","","NTD","2018-01-13 00:00:00.0","2028-01-13 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","4119200.0000","NTD","2018-03-20 00:00:00.0","2028-03-26 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","14940000.0000","NTD","2018-03-30 00:00:00.0","2028-03-29 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","3102000.0000","NTD","2018-03-30 00:00:00.0","2028-03-29 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","7260000.0000","NTD","2018-03-31 00:00:00.0","2028-03-30 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","6847200.0000","NTD","2018-04-12 00:00:00.0","2028-04-11 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","932400.0000","NTD","2018-04-16 00:00:00.0","2028-04-16 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","1323900.0000","NTD","2018-04-24 00:00:00.0","2028-04-23 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","2900000.0000","NTD","2018-03-16 00:00:00.0","2031-12-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","5796000.0000","NTD","2018-03-23 00:00:00.0","2036-03-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","1500000.0000","NTD","2017-12-28 00:00:00.0","2036-12-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","45948000.0000","NTD","2018-03-23 00:00:00.0","2038-03-23 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","45948000.0000","NTD","2018-03-23 00:00:00.0","2038-03-23 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","1824000.0000","NTD","2018-03-19 00:00:00.0","2038-12-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","4120200.0000","NTD","2018-03-28 00:00:00.0","2038-12-31 00:00:00.0"
"201804","設立","高雄市政府經濟發展局","附條件買賣","7460000.0000","NTD","2018-03-30 00:00:00.0","2038-12-31 00:00:00.0"
