"年月","報表種類","登記機關","案件類別","擔保債權額","擔保債權金額幣別","訂立契約日期","終止日期"
"201708","設立","臺北市政府產業發展局","動產抵押","21500000.0000","1","2017-07-27 00:00:00.0","2021-01-27 00:00:00.0"
"201708","設立","臺北市政府產業發展局","動產抵押","1116000.0000","1","2017-08-01 00:00:00.0","2023-08-30 00:00:00.0"
"201708","設立","臺北市政府產業發展局","動產抵押","50000000.0000","1","2017-07-25 00:00:00.0","2027-07-25 00:00:00.0"
"201708","設立","臺北市政府產業發展局","動產抵押","52800000.0000","1","2017-07-31 00:00:00.0","2027-07-31 00:00:00.0"
"201708","設立","臺北市政府產業發展局","動產抵押","1440000.0000","1","2017-07-31 00:00:00.0","2027-07-31 00:00:00.0"
"201708","設立","臺北市政府產業發展局","動產抵押","4500000.0000","1","2017-07-11 00:00:00.0","2027-12-31 00:00:00.0"
"201708","設立","臺北市政府產業發展局","動產抵押","12816000.0000","1","2017-07-31 00:00:00.0","2027-12-31 00:00:00.0"
"201708","設立","臺北市政府產業發展局","附條件買賣","4348915.0000","1","2017-05-25 00:00:00.0","2021-10-25 00:00:00.0"
"201708","設立","臺北市政府產業發展局","附條件買賣","4641487.0000","1","2017-06-25 00:00:00.0","2021-11-25 00:00:00.0"
"201708","設立","臺北市政府產業發展局","附條件買賣","1116000.0000","1","2017-08-01 00:00:00.0","2023-08-30 00:00:00.0"
"201708","設立","臺北市政府產業發展局","附條件買賣","3096000.0000","1","2017-07-25 00:00:00.0","2027-07-24 00:00:00.0"
"201708","設立","臺北市政府產業發展局","附條件買賣","1725012.0000","1","2017-07-28 00:00:00.0","2027-07-28 00:00:00.0"
"201708","設立","臺北市政府產業發展局","附條件買賣","2449440.0000","1","2017-08-10 00:00:00.0","2027-08-10 00:00:00.0"
"201708","設立","臺北市政府產業發展局","附條件買賣","","1","2017-08-11 00:00:00.0","2027-08-10 00:00:00.0"
"201708","設立","臺北市政府產業發展局","附條件買賣","424000.0000","1","2017-07-31 00:00:00.0","2027-12-31 00:00:00.0"
"201708","設立","臺北市政府產業發展局","附條件買賣","2346000.0000","1","2017-07-28 00:00:00.0","2032-07-28 00:00:00.0"
"201708","設立","臺北市政府產業發展局","附條件買賣","3060000.0000","1","2017-07-27 00:00:00.0","2047-07-26 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","3000000.0000","NTD","2017-08-17 00:00:00.0","2018-08-17 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","13000000.0000","NTD","2017-07-25 00:00:00.0","2020-07-25 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","5000000.0000","NTD","2017-08-17 00:00:00.0","2020-08-16 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","5160000.0000","NTD","2017-08-04 00:00:00.0","2021-02-04 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","12000000.0000","NTD","2017-08-17 00:00:00.0","2023-02-18 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","7400000.0000","NTD","2017-08-24 00:00:00.0","2023-08-24 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","12350000.0000","NTD","2017-08-02 00:00:00.0","2024-08-02 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","13600000.0000","NTD","2017-08-24 00:00:00.0","2024-08-23 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","10800000.0000","NTD","2017-08-03 00:00:00.0","2025-08-02 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","22800000.0000","NTD","2017-08-17 00:00:00.0","2025-08-17 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","36000000.0000","NTD","2017-08-18 00:00:00.0","2025-08-17 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","5800000.0000","NTD","2017-08-22 00:00:00.0","2025-08-21 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","1296000.0000","NTD","2017-08-24 00:00:00.0","2025-08-24 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","19080000.0000","NTD","2017-08-10 00:00:00.0","2027-08-09 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","3810000.0000","NTD","2017-08-16 00:00:00.0","2027-08-16 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","10000000.0000","NTD","2017-08-03 00:00:00.0","2027-08-31 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","6000000.0000","NTD","2017-08-03 00:00:00.0","2027-08-31 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","10000000.0000","NTD","2017-08-04 00:00:00.0","2027-08-31 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","6000000.0000","NTD","2017-08-01 00:00:00.0","2027-12-31 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","4200000.0000","NTD","2017-08-18 00:00:00.0","2027-12-31 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","650000.0000","NTD","2017-08-02 00:00:00.0","2028-08-02 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","720000.0000","NTD","2017-08-08 00:00:00.0","2028-08-08 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","420000.0000","NTD","2017-08-10 00:00:00.0","2028-08-10 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","16810000.0000","NTD","2017-07-27 00:00:00.0","2032-07-26 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","5400000.0000","NTD","2017-08-02 00:00:00.0","2032-08-01 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","1680000.0000","NTD","2017-07-20 00:00:00.0","2033-07-20 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","4860000.0000","NTD","2017-07-20 00:00:00.0","2033-07-20 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","12000000.0000","NTD","2017-07-21 00:00:00.0","2035-03-31 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","7900000.0000","NTD","2017-07-24 00:00:00.0","2035-03-31 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","42000000.0000","NTD","2017-07-28 00:00:00.0","2035-03-31 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","2441880.0000","NTD","2017-08-10 00:00:00.0","2035-08-10 00:00:00.0"
"201708","設立","高雄市政府經濟發展局","動產抵押","18000000.0000","NTD","2017-07-27 00:00:00.0","2037-03-31 00:00:00.0"
