"年月","報表種類","登記機關","案件類別","擔保債權額","擔保債權金額幣別","訂立契約日期","終止日期"
"201904","設立","臺北市政府產業發展局","動產抵押","12000000.0000","NTD","2019-03-22 00:00:00.0","2029-03-22 00:00:00.0"
"201904","設立","臺北市政府產業發展局","動產抵押","6960000.0000","NTD","2019-03-22 00:00:00.0","2029-03-22 00:00:00.0"
"201904","設立","臺北市政府產業發展局","動產抵押","12000000.0000","NTD","2019-03-28 00:00:00.0","2029-03-31 00:00:00.0"
"201904","設立","臺北市政府產業發展局","動產抵押","10000000.0000","NTD","2019-04-01 00:00:00.0","2029-04-01 00:00:00.0"
"201904","設立","臺北市政府產業發展局","動產抵押","1827000.0000","NTD","2019-04-17 00:00:00.0","2029-04-16 00:00:00.0"
"201904","設立","臺北市政府產業發展局","動產抵押","6025600.0000","NTD","2019-03-28 00:00:00.0","2031-12-31 00:00:00.0"
"201904","設立","臺北市政府產業發展局","動產抵押","11700000.0000","NTD","2019-03-26 00:00:00.0","2032-02-25 00:00:00.0"
"201904","設立","臺北市政府產業發展局","動產抵押","1351440.0000","NTD","2019-04-10 00:00:00.0","2032-12-31 00:00:00.0"
"201904","設立","臺北市政府產業發展局","動產抵押","76762400.0000","NTD","2019-04-10 00:00:00.0","2037-04-09 00:00:00.0"
"201904","設立","臺北市政府產業發展局","動產抵押","58926400.0000","NTD","2019-04-10 00:00:00.0","2037-04-09 00:00:00.0"
"201904","設立","臺北市政府產業發展局","動產抵押","33200000.0000","NTD","2019-03-08 00:00:00.0","2049-03-31 00:00:00.0"
"201904","設立","臺北市政府產業發展局","附條件買賣","1113624.0000","NTD","2019-04-24 00:00:00.0","2022-03-18 00:00:00.0"
"201904","設立","臺北市政府產業發展局","附條件買賣","3200000.0000","NTD","2019-03-29 00:00:00.0","2029-03-28 00:00:00.0"
"201904","設立","臺北市政府產業發展局","附條件買賣","8400000.0000","NTD","2019-03-29 00:00:00.0","2029-03-28 00:00:00.0"
"201904","設立","臺北市政府產業發展局","附條件買賣","942000.0000","NTD","2019-04-03 00:00:00.0","2029-04-02 00:00:00.0"
"201904","設立","臺北市政府產業發展局","附條件買賣","4320000.0000","NTD","2019-04-08 00:00:00.0","2029-04-08 00:00:00.0"
"201904","設立","臺北市政府產業發展局","附條件買賣","4000000.0000","NTD","2019-04-18 00:00:00.0","2029-04-17 00:00:00.0"
"201904","設立","臺北市政府產業發展局","附條件買賣","3360000.0000","NTD","2019-04-24 00:00:00.0","2029-04-30 00:00:00.0"
"201904","設立","臺北市政府產業發展局","附條件買賣","5871600.0000","NTD","2019-03-26 00:00:00.0","2032-03-26 00:00:00.0"
"201904","設立","臺北市政府產業發展局","附條件買賣","4644000.0000","NTD","2019-03-27 00:00:00.0","2032-03-27 00:00:00.0"
"201904","設立","臺北市政府產業發展局","附條件買賣","9120000.0000","NTD","2019-03-28 00:00:00.0","2033-03-28 00:00:00.0"
