"年月","報表種類","登記機關","案件類別","擔保債權額","擔保債權金額幣別","訂立契約日期","終止日期"
"202402","設立","臺北市政府產業發展局","動產抵押","3334150.0000","NTD","20240207000000","20291120000000"
"202402","設立","臺北市政府產業發展局","動產抵押","32716000.0000","NTD","20240123000000","20310723000000"
"202402","設立","臺北市政府產業發展局","動產抵押","77850000.0000","NTD","20231101000000","20331031000000"
"202402","設立","臺北市政府產業發展局","動產抵押","1823496.0000","NTD","20240131000000","20331116000000"
"202402","設立","臺北市政府產業發展局","動產抵押","643580.0000","NTD","20240131000000","20331127000000"
"202402","設立","臺北市政府產業發展局","動產抵押","1854600.0000","NTD","20240131000000","20331128000000"
"202402","設立","臺北市政府產業發展局","動產抵押","5400000.0000","NTD","20231218000000","20331217000000"
"202402","設立","臺北市政府產業發展局","動產抵押","1242200.0000","NTD","20240125000000","20331217000000"
"202402","設立","臺北市政府產業發展局","動產抵押","2881059.0000","NTD","20240206000000","20331224000000"
"202402","設立","臺北市政府產業發展局","動產抵押","7423056.0000","NTD","20240130000000","20331228000000"
"202402","設立","臺北市政府產業發展局","動產抵押","1297800.0000","NTD","20240126000000","20340125000000"
"202402","設立","臺北市政府產業發展局","動產抵押","3400000.0000","NTD","20240126000000","20340125000000"
"202402","設立","臺北市政府產業發展局","動產抵押","17427900.0000","NTD","20240129000000","20340129000000"
"202402","設立","臺北市政府產業發展局","動產抵押","3317520.0000","NTD","20240129000000","20340129000000"
"202402","設立","臺北市政府產業發展局","動產抵押","2001600.0000","NTD","20240130000000","20340129000000"
"202402","設立","臺北市政府產業發展局","動產抵押","4214000.0000","NTD","20240130000000","20340129000000"
"202402","設立","臺北市政府產業發展局","動產抵押","1842000.0000","NTD","20240205000000","20340204000000"
"202402","設立","臺北市政府產業發展局","動產抵押","9386042.0000","NTD","20240206000000","20340206000000"
"202402","設立","臺北市政府產業發展局","動產抵押","36063150.0000","NTD","20240206000000","20340206000000"
"202402","設立","臺北市政府產業發展局","動產抵押","1226838.0000","NTD","20240207000000","20340207000000"
