"年月","報表種類","登記機關","案件類別","擔保債權額","擔保債權金額幣別","訂立契約日期","終止日期"
"202307","設立","臺北市政府產業發展局","動產抵押","950000.0000","NTD","20230630000000","20290520000000"
"202307","設立","臺北市政府產業發展局","動產抵押","43200000.0000","NTD","20230721000000","20290721000000"
"202307","設立","臺北市政府產業發展局","動產抵押","417792.0000","NTD","20230605000000","20310426000000"
"202307","設立","臺北市政府產業發展局","動產抵押","1870200.0000","NTD","20230601000000","20310430000000"
"202307","設立","臺北市政府產業發展局","動產抵押","1830600.0000","NTD","20230612000000","20310501000000"
"202307","設立","臺北市政府產業發展局","動產抵押","1872100.0000","NTD","20230530000000","20330529000000"
"202307","設立","臺北市政府產業發展局","動產抵押","3750000.0000","NTD","20230601000000","20330531000000"
"202307","設立","臺北市政府產業發展局","動產抵押","5760000.0000","NTD","20230606000000","20330605000000"
"202307","設立","臺北市政府產業發展局","動產抵押","1113000.0000","NTD","20230621000000","20330620000000"
"202307","設立","臺北市政府產業發展局","動產抵押","4200000.0000","NTD","20230621000000","20330620000000"
"202307","設立","臺北市政府產業發展局","動產抵押","940280.0000","NTD","20230626000000","20330625000000"
"202307","設立","臺北市政府產業發展局","動產抵押","1025000.0000","NTD","20230626000000","20330625000000"
"202307","設立","臺北市政府產業發展局","動產抵押","6000000.0000","NTD","20230629000000","20330628000000"
"202307","設立","臺北市政府產業發展局","動產抵押","3650160.0000","NTD","20230626000000","20330629000000"
"202307","設立","臺北市政府產業發展局","動產抵押","2592000.0000","NTD","20230629000000","20330629000000"
"202307","設立","臺北市政府產業發展局","動產抵押","12600000.0000","NTD","20230630000000","20330630000000"
"202307","設立","臺北市政府產業發展局","動產抵押","13373640.0000","NTD","20230703000000","20330703000000"
"202307","設立","臺北市政府產業發展局","動產抵押","2116800.0000","NTD","20230706000000","20330705000000"
"202307","設立","臺北市政府產業發展局","動產抵押","3150000.0000","NTD","20230706000000","20330705000000"
"202307","設立","臺北市政府產業發展局","動產抵押","4788000.0000","NTD","20230706000000","20330705000000"
"202307","設立","臺北市政府產業發展局","動產抵押","945000.0000","NTD","20230707000000","20330706000000"
"202307","設立","臺北市政府產業發展局","動產抵押","5953500.0000","NTD","20230710000000","20330709000000"
"202307","設立","臺北市政府產業發展局","動產抵押","288000.0000","NTD","20230711000000","20330710000000"
"202307","設立","臺北市政府產業發展局","動產抵押","3450600.0000","NTD","20230712000000","20330711000000"
"202307","設立","臺北市政府產業發展局","動產抵押","2026000.0000","NTD","20230713000000","20330712000000"
"202307","設立","臺北市政府產業發展局","動產抵押","4400000.0000","NTD","20230717000000","20330716000000"
"202307","設立","臺北市政府產業發展局","動產抵押","22186500.0000","NTD","20230717000000","20330717000000"
"202307","設立","臺北市政府產業發展局","動產抵押","5544000.0000","NTD","20230720000000","20330719000000"
"202307","設立","臺北市政府產業發展局","動產抵押","","NTD","20230725000000","20330724000000"
"202307","設立","臺北市政府產業發展局","動產抵押","2580000.0000","NTD","20230726000000","20330725000000"
"202307","設立","臺北市政府產業發展局","動產抵押","3480000.0000","NTD","20230726000000","20330725000000"
"202307","設立","臺北市政府產業發展局","動產抵押","584800.0000","NTD","20230726000000","20330725000000"
"202307","設立","臺北市政府產業發展局","動產抵押","","NTD","20230726000000","20330725000000"
"202307","設立","臺北市政府產業發展局","動產抵押","916200.0000","NTD","20230727000000","20330726000000"
"202307","設立","臺北市政府產業發展局","動產抵押","29700000.0000","NTD","20230530000000","20360531000000"
"202307","設立","臺北市政府產業發展局","動產抵押","21120000.0000","NTD","20230628000000","20370630000000"
"202307","設立","臺北市政府產業發展局","動產抵押","262798000.0000","NTD","20230629000000","20430629000000"
"202307","設立","臺北市政府產業發展局","動產抵押","26798000.0000","NTD","20230629000000","20430629000000"
"202307","設立","臺北市政府產業發展局","動產抵押","3287000.0000","NTD","20230707000000","20430706000000"
"202307","設立","臺北市政府產業發展局","附條件買賣","3010000.0000","NTD","20230626000000","20290531000000"
"202307","設立","臺北市政府產業發展局","附條件買賣","38262000.0000","NTD","20230628000000","20310114000000"
"202307","設立","臺北市政府產業發展局","附條件買賣","7800000.0000","NTD","20230629000000","20330629000000"
"202307","設立","臺北市政府產業發展局","附條件買賣","1036100.0000","NTD","20230710000000","20530709000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","8653976.0000","NTD","20230602000000","20270202000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","535000000.0000","NTD","20230614000000","20290614000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1944000.0000","NTD","20230703000000","20310703000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","12000000.0000","NTD","20230613000000","20310808000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","28230000.0000","NTD","20230617000000","20320616000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","10210000.0000","NTD","20230712000000","20320711000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","5420000.0000","NTD","20230530000000","20330530000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","7812000.0000","NTD","20230601000000","20330531000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","914340.0000","NTD","20230605000000","20330605000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","5670000.0000","NTD","20230606000000","20330605000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1858500.0000","NTD","20230606000000","20330605000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1741500.0000","NTD","20230606000000","20330605000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1113000.0000","NTD","20230606000000","20330606000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1039200.0000","NTD","20230609000000","20330609000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","20160000.0000","NTD","20230612000000","20330611000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","940800.0000","NTD","20230612000000","20330612000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1676342.0000","NTD","20230614000000","20330613000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1311000.0000","NTD","20230615000000","20330614000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","770000.0000","NTD","20230616000000","20330615000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","55460000.0000","NTD","20230619000000","20330619000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","11088000.0000","NTD","20230620000000","20330619000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1260000.0000","NTD","20230620000000","20330619000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","11730075.0000","NTD","20230620000000","20330620000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1764000.0000","NTD","20230620000000","20330620000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","8640000.0000","NTD","20230620000000","20330620000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1036875.0000","NTD","20230620000000","20330620000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1920000.0000","NTD","20230621000000","20330620000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1890000.0000","NTD","20230629000000","20330628000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","2142000.0000","NTD","20230629000000","20330628000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1113000.0000","NTD","20230629000000","20330628000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1200000.0000","NTD","20230630000000","20330629000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","6491000.0000","NTD","20230630000000","20330629000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","2016000.0000","NTD","20230630000000","20330629000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","24979500.0000","NTD","20230630000000","20330630000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","6000000.0000","NTD","20230703000000","20330702000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1486800.0000","NTD","20230703000000","20330702000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1739400.0000","NTD","20230703000000","20330703000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","2797200.0000","NTD","20230704000000","20330703000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1827000.0000","NTD","20230705000000","20330704000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","632000.0000","NTD","20230707000000","20330706000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1619000.0000","NTD","20230707000000","20330706000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","633098.0000","NTD","20230707000000","20330707000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1089000.0000","NTD","20230710000000","20330709000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","2344440.0000","NTD","20230711000000","20330711000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","2766960.0000","NTD","20230713000000","20330712000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","825360.0000","NTD","20230713000000","20330712000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1798800.0000","NTD","20230714000000","20330713000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","","NTD","20230714000000","20330713000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","466200.0000","NTD","20230714000000","20330713000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","6548100.0000","NTD","20230714000000","20330714000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","6600000.0000","NTD","20230717000000","20330716000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1906800.0000","NTD","20230717000000","20330717000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","4175000.0000","NTD","20230718000000","20330718000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","1788000.0000","NTD","20230719000000","20330718000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","7966000.0000","NTD","20230719000000","20330719000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","","NTD","20230720000000","20330719000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","3168000.0000","NTD","20230720000000","20330719000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","20333250.0000","NTD","20230720000000","20330720000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","5586000.0000","NTD","20230721000000","20330720000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","15900000.0000","NTD","20230726000000","20330725000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","720000.0000","NTD","20230620000000","20340620000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","548000.0000","NTD","20230630000000","20380629000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","864000.0000","NTD","20230630000000","20380629000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","29055600.0000","NTD","20230713000000","20380712000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","84632763.0000","NTD","20221020000000","20381220000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","5160000.0000","NTD","20230628000000","20381231000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","9830000.0000","NTD","20230627000000","20390627000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","16300000.0000","NTD","20230628000000","20390628000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","2030000.0000","NTD","20230705000000","20390705000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","10050000.0000","NTD","20230529000000","20400529000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","27180000.0000","NTD","20230529000000","20400529000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","5280000.0000","NTD","20230529000000","20400529000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","87105000.0000","NTD","20230529000000","20400529000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","100872000.0000","NTD","20230626000000","20400625000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","2745000.0000","NTD","20230710000000","20400710000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","65000000.0000","NTD","20230621000000","20410621000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","10000000.0000","NTD","20230526000000","20430525000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","906163.0000","NTD","20230608000000","20430607000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","15697500.0000","NTD","20230616000000","20430615000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","4050000.0000","NTD","20230628000000","20430628000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","7500000.0000","NTD","20230628000000","20430628000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","7500000.0000","NTD","20230628000000","20430628000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","18000000.0000","NTD","20230704000000","20430703000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","15540000.0000","NTD","20230710000000","20430709000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","36000000.0000","NTD","20230711000000","20430710000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","8550000.0000","NTD","20230712000000","20430712000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","6660000.0000","NTD","20230713000000","20430712000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","13200000.0000","NTD","20230718000000","20430717000000"
"202307","設立","高雄市政府經濟發展局","動產抵押","6000000.0000","NTD","20230531000000","20431231000000"
